Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,pose.position.x,pose.position.y,pose.position.z,pose.orientation.x,pose.orientation.y,pose.orientation.z,pose.orientation.w
1659040914.6770065,68,0,0,,0.2861392049499625,0.04474515141328404,0.3846042568866152,0.9208153625638213,-0.3894790034480621,-0.01659540932672529,0.011391502452337733
1659040914.7183843,69,0,0,,0.2862201367690978,0.04420195294957166,0.3846042568866152,0.9208135373859085,-0.38948556466346174,-0.016576412664973495,0.011342258538635044
1659040914.7623374,70,0,0,,0.28629734912165616,0.04365519525594865,0.3846042568866152,0.9208557984281612,-0.38939150309965376,-0.016500533523781,0.01125114253516014
1659040914.8062916,71,0,0,,0.28639293905768537,0.042906409134273134,0.3846042568866152,0.9206754243169722,-0.3898203857720777,-0.01648199784747245,0.011188102700999635
1659040914.8506162,72,0,0,,0.2866672568137259,0.041055997941947364,0.3846042568866152,0.9199053678898517,-0.3916345631073854,-0.016523113311578175,0.01111169806015284
1659040914.8948243,73,0,0,,0.28682242126394686,0.03994305618776506,0.3846042568866152,0.9195013285238145,-0.39258109496773425,-0.0165700690526941,0.011082577687377528
1659040914.9160419,74,0,0,,0.28699666102682314,0.03874803266177969,0.3846042568866152,0.9194059908429283,-0.39280840023291647,-0.01654518129585807,0.010974592667034553
1659040914.958486,75,0,0,,0.2871614224062779,0.03742344661887542,0.3846042568866152,0.9194152124864182,-0.39278646139330714,-0.01660700742112528,0.010893580671554834
1659040915.0023525,76,0,0,,0.28734033857626196,0.03603800537410673,0.3846042568866152,0.9194867898919484,-0.39261882497216377,-0.01666345931178044,0.010808821185378134
1659040915.0462422,77,0,0,,0.28752813064832367,0.0345183896709565,0.3846042568866152,0.91983907676758,-0.39179341190004324,-0.01672114557574232,0.010695725001412092
1659040915.0903087,78,0,0,,0.2879087088612504,0.031179091601778192,0.3846042568866152,0.9202841753880859,-0.39074714104581865,-0.016858912013506106,0.010463526188610064
1659040915.1345546,79,0,0,,0.28810108432575027,0.029272786875245576,0.3846042568866152,0.9198863583866823,-0.39168004793246897,-0.017002271128048214,0.010332012481441456
1659040915.1539001,80,0,0,,0.2882798262052347,0.027453557642031223,0.3846042568866152,0.9193792891643257,-0.3928692032831464,-0.017054201903667052,0.010230638506435012
1659040915.1945255,81,0,0,,0.2884084835180797,0.025721459485151914,0.3846042568866152,0.9192005044574546,-0.3932804150749756,-0.01722563263335641,0.01020907950008404
1659040915.2426014,82,0,0,,0.2884608136990514,0.024047441545248804,0.3846042568866152,0.919838715697131,-0.3917613961270087,-0.017301296768407283,0.010973182750325145
1659040915.2862978,83,0,0,,0.28849703373382934,0.022445556463077793,0.3846042568866152,0.9205157412930105,-0.3901428372905851,-0.017581492223004844,0.011411734041284136
1659040915.3303711,84,0,0,,0.28845591635823553,0.019784795704780027,0.3846042568866152,0.9205332190434671,-0.39004077027923056,-0.018672295736008242,0.011753107219864275
1659040915.3746653,85,0,0,,0.28830627371037115,0.018522510758316804,0.3846042568866152,0.9200586438759363,-0.39110030316029537,-0.019617511642044852,0.012157217364616642
1659040915.3917243,86,0,0,,0.2880818300642236,0.01749683809364502,0.3846042568866152,0.9196903385135894,-0.3918940288363665,-0.02070874694431521,0.012645125812827838
1659040915.4343834,87,0,0,,0.2880432312230548,0.016714229504346288,0.3846042568866152,0.9196386815361474,-0.391992568811353,-0.02106907256651941,0.012752082189734698
1659040915.4783318,88,0,0,,0.2880921412881905,0.016158141762006917,0.3846042568866152,0.9197672869639144,-0.3916951499103304,-0.021033795154836377,0.012673864022919534
1659040915.5224762,89,0,0,,0.2881542218327788,0.015900695856683696,0.3846042568866152,0.9199540562902271,-0.3912736936771417,-0.02080078723563582,0.01252031157997712
1659040915.5663016,90,0,0,,0.2883584127784296,0.015916726562599147,0.3846042568866152,0.9201306823579073,-0.390954291669193,-0.019354399834433746,0.011818477744667029
1659040915.610422,91,0,0,,0.2884550305583859,0.01592291492664915,0.3846042568866152,0.9201625892053761,-0.39094001218529617,-0.018388800962292094,0.011338796165509984
1659040915.6301632,92,0,0,,0.28845051391759635,0.01594966178849265,0.3846042568866152,0.9202167074713741,-0.3908634458806454,-0.01753814676454285,0.010926635962334235
1659040915.6703691,93,0,0,,0.2883862372726087,0.016036941653594764,0.3846042568866152,0.9203615619911992,-0.3905694745670769,-0.016713157088727178,0.010523836075280886
1659040915.7186077,94,0,0,,0.2883976626727063,0.016181456657258293,0.3846042568866152,0.9205718504259989,-0.39013001073622605,-0.015675810692683145,0.010015582114690056
1659040915.762592,95,0,0,,0.2884320524241576,0.016376162628954093,0.3846042568866152,0.9208140743983642,-0.38961092837650135,-0.01463824327837345,0.00951245044405806
1659040915.8065982,96,0,0,,0.2886069643268222,0.01708090515621521,0.3846042568866152,0.9215123630402232,-0.388051721833395,-0.012580297150918488,0.008518337219465929
1659040915.850825,97,0,0,,0.28876632985717676,0.017644662815007556,0.3846042568866152,0.9219336024814149,-0.38708980008090205,-0.01161974398321281,0.008056105660517905
1659040915.8698642,98,0,0,,0.28892248213176286,0.018372407476980126,0.3846042568866152,0.9224254803413884,-0.3859461423862638,-0.010845791092106828,0.007692672473855382
1659040915.9103527,99,0,0,,0.2890722913940228,0.019384004023857506,0.3846042568866152,0.923095311557594,-0.38436774171025884,-0.010115812480395843,0.007359025045811198
1659040915.9543357,100,0,0,,0.2892328254537536,0.02046119080968178,0.3846042568866152,0.9238006310107459,-0.3826983540069709,-0.009286427543681482,0.006937308335978974
1659040915.9983826,101,0,0,,0.2894293455629424,0.02164917101753923,0.3846042568866152,0.9245465123789821,-0.38092877852385126,-0.008210937806404386,0.006292268131894677
1659040916.042321,102,0,0,,0.289616748487192,0.024433385595532424,0.3846042568866152,0.9261578559295167,-0.3770397974589346,-0.00668846254205883,0.005280293567510067
1659040916.08632,103,0,0,,0.2896578105757551,0.02585236079562147,0.3846042568866152,0.9267262812353236,-0.37565441645471465,-0.0062126712659829305,0.004854048038137441
1659040916.109,104,0,0,,0.28970469934653337,0.02751140390269529,0.3846042568866152,0.9272145899926545,-0.3744623622803581,-0.0056288017495767255,0.004399992168356358
1659040916.150419,105,0,0,,0.28971784733471784,0.029058830470748434,0.3846042568866152,0.9276165390833842,-0.3734760109303844,-0.005182705186550136,0.00404539803758285
1659040916.1950507,106,0,0,,0.28969115920352584,0.030641940382047962,0.3846042568866152,0.9279549274578973,-0.37264077085134645,-0.004906389482942185,0.0037994538226547667
1659040916.2385235,107,0,0,,0.28962601289298995,0.03220708370585208,0.3846042568866152,0.9282127077902762,-0.3720014204205061,-0.004727502436386711,0.0037098551670505216
1659040916.2824216,108,0,0,,0.28946391495156865,0.03581582464897443,0.3846042568866152,0.9283003553897403,-0.37178934435739946,-0.004318851347623197,0.0035328646974286766
1659040916.3264065,109,0,0,,0.289394238870442,0.03793388171733185,0.3846042568866152,0.928582367030855,-0.371088304010794,-0.003924082087930828,0.00358606234175697
1659040916.3467467,110,0,0,,0.2893117403179255,0.040236398123157636,0.3846042568866152,0.9288999825369063,-0.37029563798337134,-0.003539655764014968,0.00366521066185421
1659040916.3907394,111,0,0,,0.28924304767698195,0.04262785273529318,0.3846042568866152,0.9286940922794555,-0.3708150361913559,-0.0031595960474925075,0.0036754391391137634
1659040916.4344926,112,0,0,,0.2891456843391379,0.04520205991755132,0.3846042568866152,0.9283021321609535,-0.37179909410392276,-0.0027611910382277795,0.0036001214187356832
1659040916.4785464,113,0,0,,0.28903729448530713,0.04799139357491984,0.3846042568866152,0.9282103134434616,-0.3720319294364455,-0.002398923630649367,0.0034788878391714432
